"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,225,"The same day, Alfred Escher received a letter from Jakob Zellweger applying for money to free Robert Steiger. An apply which would be desestimated. Further Zellweger recommended Escher not to get to much stressed by Constantin Siegwart-Müller who was sitting next to him in the Confederate Diet.",1845,6,"SiMueC1800; EsA1819","Scene:  225#   The same day, Alfred Escher received a letter from Jakob Zellweger applying for money to free Robert Steiger. An apply which would be desestimated. Further Zellweger recommended Escher not to get to much stressed by Constantin Siegwart-Müller who was sitting next to him in the Confederate Diet.","Year:  1845  - - -  Character: SiMueC1800; EsA1819"
1,1,226,"20 July 1845 Josef Leu was murdered.",1845,4,"SiMueC1800","Scene:  226#   20 July 1845 Josef Leu was murdered.","Year:  1845  - - -  Character: SiMueC1800"
1,1,227,"In August, Georg Herwegh began his studies in natural sciences together with the marine biologist Karl Vogt in Paris.",1845,7,"HeSiE1817","Scene:  227#   In August, Georg Herwegh began his studies in natural sciences together with the marine biologist Karl Vogt in Paris.","Year:  1845  - - -  Character: HeSiE1817"
1,1,228,"4 September 1845, Bernhard Hirzel applied to the Educational council, to the Office Mayor Zehnder, for a chair at the University. It was the first time that somebody applied for a chair who worked before as outside lecturer at the university. Due to his dual expertise in philosophy and theology both departments were involved.",1845,3,"HiB1807","Scene:  228#   4 September 1845, Bernhard Hirzel applied to the Educational council, to the Office Mayor Zehnder, for a chair at the University. It was the first time that somebody applied for a chair who worked before as outside lecturer at the university. Due to his dual expertise in philosophy and theology both departments were involved.","Year:  1845  - - -  Character: HiB1807"
1,1,229,"In the meantime, Meta Heusser-Schweizer’s daughter Johanna stood in Yverdon.",1845,1,"HeScM1797","Scene:  229#   In the meantime, Meta Heusser-Schweizer’s daughter Johanna stood in Yverdon.","Year:  1845  - - -  Character: HeScM1797"
1,1,230,"1 November 1845 the Society of Jesus was installed by the conservatives and the following month, on December 12th a conference held on the Federal Treaty of August 1815 in order to protect sovereignty and cantonal rights. Siegwart-Müller ""led the organization of seven Roman Catholic cantons into a secret defensive league, the Sonderbund […], over which he presided as head of the war council"". He became also president of the conservative Ruswiler Club, founded by Josef Leu and was appointed Head of the War Council. In this function he had called the war council during that year, and searched for support from the Polish, Spanish Carlists and other powers.",1845,4,"SiMueC1800","Scene:  230#   1 November 1845 the Society of Jesus was installed by the conservatives and the following month, on December 12th a conference held on the Federal Treaty of August 1815 in order to protect sovereignty and cantonal rights. Siegwart-Müller ""led the organization of seven Roman Catholic cantons into a secret defensive league, the Sonderbund […], over which he presided as head of the war council"". He became also president of the conservative Ruswiler Club, founded by Josef Leu and was appointed Head of the War Council. In this function he had called the war council during that year, and searched for support from the Polish, Spanish Carlists and other powers.","Year:  1845  - - -  Character: SiMueC1800"
1,1,231,"Bernhard Hirzel admitted in a letter to Bluntschli that he was motivated by his former professor Bopp's and other's invitations to return to Zurich.",1845,3,"HiB1807","Scene:  231#   Bernhard Hirzel admitted in a letter to Bluntschli that he was motivated by his former professor Bopp's and other's invitations to return to Zurich.","Year:  1845  - - -  Character: HiB1807"
1,1,232,"3 January 1846, Bernhard Hirzel was finally elected as outside lecturer of the University Zurich, in part thanks to Orelli support of his re-habilitation (Wiederhabilitierung).",1846,3,"HiB1807","Scene:  232#   3 January 1846, Bernhard Hirzel was finally elected as outside lecturer of the University Zurich, in part thanks to Orelli support of his re-habilitation (Wiederhabilitierung).","Year:  1846  - - -  Character: HiB1807"
1,1,233,"From February to March, an open controversy started between the press and Hirzel about his intentions to lecture at the University Zürich.",1846,3,"HiB1807","Scene:  233#   From February to March, an open controversy started between the press and Hirzel about his intentions to lecture at the University Zürich.","Year:  1846  - - -  Character: HiB1807"
1,1,234,"15 May 1846, Katharina started the management of the Berggasthof [mountain inn] ""Kaltbad"", on the Rigi, together with her foster daughter Katharina Peyer.",1846,2,"MoKaK1790","Scene:  234#   15 May 1846, Katharina started the management of the Berggasthof [mountain inn] ""Kaltbad"", on the Rigi, together with her foster daughter Katharina Peyer.","Year:  1846  - - -  Character: MoKaK1790"
1,1,235,"26 October, Bernhard Hirzel published his lectures, including one about the grammar of the dialect of Zurich. Not one single student wants to inscribe.",1846,3,"HiB1807","Scene:  235#   26 October, Bernhard Hirzel published his lectures, including one about the grammar of the dialect of Zurich. Not one single student wants to inscribe.","Year:  1846  - - -  Character: HiB1807"
1,1,236,"End of November, Bernhard Hirzel and Marie Welti travelled to Paris.",1846,3,"HiB1807","Scene:  236#   End of November, Bernhard Hirzel and Marie Welti travelled to Paris.","Year:  1846  - - -  Character: HiB1807"
1,1,237,"Heinrich Weiss resigned his citizenship of Fehraltorf and became citizen of Winterthur, where he had movet to already earlier.",1846,5,"WeH1789","Scene:  237#   Heinrich Weiss resigned his citizenship of Fehraltorf and became citizen of Winterthur, where he had movet to already earlier.","Year:  1846  - - -  Character: WeH1789"
1,1,238,"The same year, Constantin Siegwart-Müller founded the Borromäische Akademie, a kind a scientific institution with the aim to gather Catholic scientist from all over Switzerland. Reelected chief magistrate (Schultheiss) and still in the War Council he was busy with the assignation of the Commander in Chief.",1846,4,"SiMueC1800","Scene:  238#   The same year, Constantin Siegwart-Müller founded the Borromäische Akademie, a kind a scientific institution with the aim to gather Catholic scientist from all over Switzerland. Reelected chief magistrate (Schultheiss) and still in the War Council he was busy with the assignation of the Commander in Chief.","Year:  1846  - - -  Character: SiMueC1800"
1,1,239,"Zürich was presiding city of the Swiss Diet. It was decided by 10 to 2 votes in favour of the dissolution of the Soderbund. A corresponding appliance was to Luzern.",1846,8,"history","Scene:  239#   Zürich was presiding city of the Swiss Diet. It was decided by 10 to 2 votes in favour of the dissolution of the Soderbund. A corresponding appliance was to Luzern.","Year:  1846  - - -  Character: history"
1,1,240,"During 1847 things turn against the conservatives. The radicals achieved majority in Geneva and favoured openly violent interventions against the conservatives.",1847,8,"history","Scene:  240#   During 1847 things turn against the conservatives. The radicals achieved majority in Geneva and favoured openly violent interventions against the conservatives.","Year:  1847  - - -  Character: history"
1,1,241,"19 May 1847, Emma Herwegh gave life to her second son Camille Herwegh and travelled to Berlin in order to observe the criminal processes on 450 Polish and visits the prisoners in their cells.",1847,7,"HeSiE1817","Scene:  241#   19 May 1847, Emma Herwegh gave life to her second son Camille Herwegh and travelled to Berlin in order to observe the criminal processes on 450 Polish and visits the prisoners in their cells.","Year:  1847  - - -  Character: HeSiE1817"
1,1,242,"8 June 1847, Bernhard Hirzel suicided, helped by poison, together with his lover Marie Welti, in Paris.",1847,3,"HiB1807","Scene:  242#   8 June 1847, Bernhard Hirzel suicided, helped by poison, together with his lover Marie Welti, in Paris.","Year:  1847  - - -  Character: HiB1807"
1,1,243,"1 July and 13 August, Heinrich Weiss wrote to Escher, worried about Escher’s health after the acceptance of the demanding position as State Secretary (Staatsschreiber).",1847,6,"WeH1789; EsA1819","Scene:  243#   1 July and 13 August, Heinrich Weiss wrote to Escher, worried about Escher’s health after the acceptance of the demanding position as State Secretary (Staatsschreiber).","Year:  1847  - - -  Character: WeH1789; EsA1819"
1,1,244,"During July, Meta Heusser-Schweizer travelled to Pfäfers.",1847,1,"HeScM1797","Scene:  244#   During July, Meta Heusser-Schweizer travelled to Pfäfers.","Year:  1847  - - -  Character: HeScM1797"
1,1,245,"On September 3rd, Jacob Martin Utinger from Baar wrote to Alfred Escher worried that the r the Grand Council could still not achieve majority against the Sonderbund. ""Victoria Constanti, auf Siegwart wartet Sieg."" But Utinger remained also steadfast against any possible military intervention, as expressed in a letter on the 29th.",1847,6,"SiMueC1800; EsA1819","Scene:  245#   On September 3rd, Jacob Martin Utinger from Baar wrote to Alfred Escher worried that the r the Grand Council could still not achieve majority against the Sonderbund. ""Victoria Constanti, auf Siegwart wartet Sieg."" But Utinger remained also steadfast against any possible military intervention, as expressed in a letter on the 29th.","Year:  1847  - - -  Character: SiMueC1800; EsA1819"
1,1,246,"2 October, Jakob Robert Steiger informed Alfred Escher about propaganda strategies in Luzern.",1847,6,"EsA1819","Scene:  246#   2 October, Jakob Robert Steiger informed Alfred Escher about propaganda strategies in Luzern.","Year:  1847  - - -  Character: EsA1819"
1,1,247,"4 November 1847, in Bern, the Swiss Diet achieved finally majority in favor of the dissolution of the Sonderbung, given that it was incompatible with the Convederate Treaty.",1847,8,"history","Scene:  247#   4 November 1847, in Bern, the Swiss Diet achieved finally majority in favor of the dissolution of the Sonderbung, given that it was incompatible with the Convederate Treaty.","Year:  1847  - - -  Character: history"
1,1,248,"The offensive into the Freiamt had to be ordered explicitly by Salis-Soglio by the War Council on November 11, 1847. Siegwart-Müller wanted to get into offensive, while Johann Ulrich v. Salis-Soglio and with him the majority of the Diet only accepted defensive actions. In the meantime Siegwart-Müller as president of the Ruswiler Club and searched for religious means in order to promote the agitation further.",1847,4,"SiMueC1800","Scene:  248#   The offensive into the Freiamt had to be ordered explicitly by Salis-Soglio by the War Council on November 11, 1847. Siegwart-Müller wanted to get into offensive, while Johann Ulrich v. Salis-Soglio and with him the majority of the Diet only accepted defensive actions. In the meantime Siegwart-Müller as president of the Ruswiler Club and searched for religious means in order to promote the agitation further.","Year:  1847  - - -  Character: SiMueC1800"
1,1,249,"12 November, Battle of Geltswil.",1847,8,"history","Scene:  249#   12 November, Battle of Geltswil.","Year:  1847  - - -  Character: history"
1,1,250,"23 November, Battle of Gisikon.",1847,8,"history","Scene:  250#   23 November, Battle of Gisikon.","Year:  1847  - - -  Character: history"
1,1,251,"Also Katharina Morel and Meta Heusser-Schweizer annotated the events of the Sonderbundwar in their diaries.",1847,1,"MoKaK1790; HeScM1797","Scene:  251#   Also Katharina Morel and Meta Heusser-Schweizer annotated the events of the Sonderbundwar in their diaries.","Year:  1847  - - -  Character: MoKaK1790; HeScM1797"
1,1,252,"2 December, Rudolf Bollier from Luzern informed Alfred Escher about Constantin Siegwart-Müllers escape to Austria.",1847,6,"SiMueC1800; EsA1819","Scene:  252#   2 December, Rudolf Bollier from Luzern informed Alfred Escher about Constantin Siegwart-Müllers escape to Austria.","Year:  1847  - - -  Character: SiMueC1800; EsA1819"
1,1,253,"Two days later he informed about about election strategies and the problem that the cantonal and communal officers in Luzern were supporting Siegwart-Müller.",1847,4,"SiMueC1800","Scene:  253#   Two days later he informed about about election strategies and the problem that the cantonal and communal officers in Luzern were supporting Siegwart-Müller.","Year:  1847  - - -  Character: SiMueC1800"
1,1,254,"Until on the 11th of December, Bollier found some acta which help to defeat Siegwart-Müller.",1847,4,"SiMueC1800","Scene:  254#   Until on the 11th of December, Bollier found some acta which help to defeat Siegwart-Müller.","Year:  1847  - - -  Character: SiMueC1800"
1,1,255,"In 1848, the newly elected Grand Council sanctioned Siegwart-Müller with a contribution of 20.000 Francs. In consequence he was declared bankrupt. But, he never applied for amnesty.",1848,4,"SiMueC1800","Scene:  255#   In 1848, the newly elected Grand Council sanctioned Siegwart-Müller with a contribution of 20.000 Francs. In consequence he was declared bankrupt. But, he never applied for amnesty.","Year:  1848  - - -  Character: SiMueC1800"
1,1,256,"Constantin Siegwart-Müller had fled to the Wallis, later to Milan, where he returned the war funds received from Austria. After a short stay Austria he would take refuge in the Alsace and at different places in Germany.",1848,4,"SiMueC1800","Scene:  256#   Constantin Siegwart-Müller had fled to the Wallis, later to Milan, where he returned the war funds received from Austria. After a short stay Austria he would take refuge in the Alsace and at different places in Germany.","Year:  1848  - - -  Character: SiMueC1800"
1,1,257,"Heinrich Weiss had become Grand Councillor in Zürich, and was editor of the “Winterthurer Zeitung”.",1848,5,"WeH1789","Scene:  257#   Heinrich Weiss had become Grand Councillor in Zürich, and was editor of the “Winterthurer Zeitung”.","Year:  1848  - - -  Character: WeH1789"
1,1,258,"24 February 1848, a new revolution in France had taken place and Louise Phillippe was forced to resign. Emma and Georg Herwegh, together with their friend Bakunin presented the events.",1848,7,"HeSiE1817","Scene:  258#   24 February 1848, a new revolution in France had taken place and Louise Phillippe was forced to resign. Emma and Georg Herwegh, together with their friend Bakunin presented the events.","Year:  1848  - - -  Character: HeSiE1817"
1,1,259,"The same month, Karl Marx and Friedrich Engels, both friends of Emma Herwegh, had published the Manifest der kommunistischen Partei [Communist Manifest].",1848,7,"HeSiE1817","Scene:  259#   The same month, Karl Marx and Friedrich Engels, both friends of Emma Herwegh, had published the Manifest der kommunistischen Partei [Communist Manifest].","Year:  1848  - - -  Character: HeSiE1817"
1,1,260,"9 March 1848, the Herweghs write together a proclamation (""Grussadresse"") to the French people. Together with the German immigrants they found and preside the Deutsche demokratische Legion [German Democratic Legion], which shall bring success to the revolution in Germany.",1848,7,"HeSiE1817","Scene:  260#   9 March 1848, the Herweghs write together a proclamation (""Grussadresse"") to the French people. Together with the German immigrants they found and preside the Deutsche demokratische Legion [German Democratic Legion], which shall bring success to the revolution in Germany.","Year:  1848  - - -  Character: HeSiE1817"
1,1,261,"15 March, a reevolution in Vienna had taken place and Metternich was overturned.",1848,8,"history","Scene:  261#   15 March, a reevolution in Vienna had taken place and Metternich was overturned.","Year:  1848  - - -  Character: history"
1,1,262,"19 March, in Berlin had the barricade fights broken out.",1848,8,"history","Scene:  262#   19 March, in Berlin had the barricade fights broken out.","Year:  1848  - - -  Character: history"
1,1,263,"14 April 1848, Camille Herwegh died.",1848,7,"HeSiE1817","Scene:  263#   14 April 1848, Camille Herwegh died.","Year:  1848  - - -  Character: HeSiE1817"
1,1,264,"One day later, the Legion waited in Strasbourg for the gathering with Hecker and Struve. Emma Herwegh crossed as a emissary of the Legion the enemy lines twice.",1848,7,"HeSiE1817","Scene:  264#   One day later, the Legion waited in Strasbourg for the gathering with Hecker and Struve. Emma Herwegh crossed as a emissary of the Legion the enemy lines twice.","Year:  1848  - - -  Character: HeSiE1817"
1,1,265,"24 April, The Legion crossed the Rhine. Emma Herwegh marched four days and four nights in men's clothes with the Legion through the Black Forest without success. Friedrich Hecker and Gustav Struve were already defeated.",1848,7,"HeSiE1817","Scene:  265#   24 April, The Legion crossed the Rhine. Emma Herwegh marched four days and four nights in men's clothes with the Legion through the Black Forest without success. Friedrich Hecker and Gustav Struve were already defeated.","Year:  1848  - - -  Character: HeSiE1817"
1,1,266,"27 April, was the day of the battle and defeat of the Legion by Dossenbach. Georg and Emma Herwegh escape.",1848,7,"HeSiE1817","Scene:  266#   27 April, was the day of the battle and defeat of the Legion by Dossenbach. Georg and Emma Herwegh escape.","Year:  1848  - - -  Character: HeSiE1817"
1,1,267,"In June, Emma Herwegh was sought by warrant for ""high treason"" and wrote against the smear campaign the work Die Geschichte der deutschen demokratischen Legion.",1848,7,"HeSiE1817","Scene:  267#   In June, Emma Herwegh was sought by warrant for ""high treason"" and wrote against the smear campaign the work Die Geschichte der deutschen demokratischen Legion.","Year:  1848  - - -  Character: HeSiE1817"
1,1,268,"On the 20th of June 1848, Heinrich Weiss died.",1848,5,"WeH1789","Scene:  268#   On the 20th of June 1848, Heinrich Weiss died.","Year:  1848  - - -  Character: WeH1789"
1,1,269,"In August, a Josef Lusser from Altorf, Canton Uri, thanked Alfred Escher for the support of the radical cause in the forest cantons in the media and informed about the current situation.",1848,6,"EsA1819","Scene:  269#   In August, a Josef Lusser from Altorf, Canton Uri, thanked Alfred Escher for the support of the radical cause in the forest cantons in the media and informed about the current situation.","Year:  1848  - - -  Character: EsA1819"
1,1,270,"In February 1849, Ada Herwegh, daughter of Emma Herwegh, was born.",1849,7,"HeSiE1817","Scene:  270#   In February 1849, Ada Herwegh, daughter of Emma Herwegh, was born.","Year:  1849  - - -  Character: HeSiE1817"
1,1,271,"In July, Georg Herwegh fled from Paris to Geneva. Meta Heusser-Schweizer would pass the month, as so many times, in Pfäfers.",1849,7,"HeScM1797; HeSiE1817","Scene:  271#   In July, Georg Herwegh fled from Paris to Geneva. Meta Heusser-Schweizer would pass the month, as so many times, in Pfäfers.","Year:  1849  - - -  Character: HeScM1797; HeSiE1817"
1,1,272,"By end of September, a fire in the ""Kaltbad"" destroyed the inn completely. After saving people and goods in the fire, Katharina Morel, exhausted had to remain in bed until end of August.",1849,2,"MoKaK1790","Scene:  272#   By end of September, a fire in the ""Kaltbad"" destroyed the inn completely. After saving people and goods in the fire, Katharina Morel, exhausted had to remain in bed until end of August.","Year:  1849  - - -  Character: MoKaK1790"
1,1,273,"In September, Georg Herwegh had a love affair with Natalie Herzen in Geneva.",1849,7,"HeSiE1817","Scene:  273#   In September, Georg Herwegh had a love affair with Natalie Herzen in Geneva.","Year:  1849  - - -  Character: HeSiE1817"
1,1,274,"In November 1849, Katharina started the management of the Grand Hotel Schweizerhof assisted by her nieces Joséfin and Katharina Peyer.",1849,2,"MoKaK1790","Scene:  274#   In November 1849, Katharina started the management of the Grand Hotel Schweizerhof assisted by her nieces Joséfin and Katharina Peyer.","Year:  1849  - - -  Character: MoKaK1790"
1,1,275,"The same year, Richard Wagner was though by warrent throughout Germany because of his envolvement with the Dresden rebellion of 1849. Later in 1853, in the state of Hessen, the performances of the works of the composing ""barricade fighter"" would be prohibited until 1866.",1849,8,"history","Scene:  275#   The same year, Richard Wagner was though by warrent throughout Germany because of his envolvement with the Dresden rebellion of 1849. Later in 1853, in the state of Hessen, the performances of the works of the composing ""barricade fighter"" would be prohibited until 1866.","Year:  1849  - - -  Character: history"
1,1,276,"July 1850, Meta Heusser-Schweizer visited Fehraltorf, but two years after his death, nothing seemed to remember anymore the former man of the day, Heinrich Weiss.",1850,1,"HeScM1797","Scene:  276#   July 1850, Meta Heusser-Schweizer visited Fehraltorf, but two years after his death, nothing seemed to remember anymore the former man of the day, Heinrich Weiss.","Year:  1850  - - -  Character: HeScM1797"
1,1,277,"The same month, the family Herwegh and the family Herzen rented a house in Nizza together.",1850,7,"HeSiE1817","Scene:  277#   The same month, the family Herwegh and the family Herzen rented a house in Nizza together.","Year:  1850  - - -  Character: HeSiE1817"
1,1,278,"In September, Meta Heusser-Schweizer visited the Rigi again with her son’s bride Regina von Flugi and her cousin of the same name.",1851,1,"HeScM1797","Scene:  278#   In September, Meta Heusser-Schweizer visited the Rigi again with her son’s bride Regina von Flugi and her cousin of the same name.","Year:  1851  - - -  Character: HeScM1797"
1,1,279,"In January 1851, Herzen became jealous and started a dramatic discussions.",1851,7,"HeSiE1817","Scene:  279#   In January 1851, Herzen became jealous and started a dramatic discussions.","Year:  1851  - - -  Character: HeSiE1817"
1,1,280,"In April, Georg Herwegh separated from his family and went to Zürich.",1851,7,"HeSiE1817","Scene:  280#   In April, Georg Herwegh separated from his family and went to Zürich.","Year:  1851  - - -  Character: HeSiE1817"
1,1,281,"27 April 1851, Christian Heusser visited his mother Meta Heusser-Schweizer and family during his stay in Berlin where he studied from 1847 to 1853, among other country surveying and mineralogy.",1851,1,"HeScM1797","Scene:  281#   27 April 1851, Christian Heusser visited his mother Meta Heusser-Schweizer and family during his stay in Berlin where he studied from 1847 to 1853, among other country surveying and mineralogy.","Year:  1851  - - -  Character: HeScM1797"
1,1,282,"14 July 1851, Meta’s oldest son Theodor married Regina von Flugi. A trip to the Chur and the Engadin followed.",1851,1,"HeScM1797","Scene:  282#   14 July 1851, Meta’s oldest son Theodor married Regina von Flugi. A trip to the Chur and the Engadin followed.","Year:  1851  - - -  Character: HeScM1797"
1,1,283,"In February 1852, Herzen forced his wife to make a ""confession"" and to write a farewell letter to Herwegh. A few month later, on the 2nd of May she would die of a pleurisy (“Brustfellentzündung”).",1852,7,"HeSiE1817","Scene:  283#   In February 1852, Herzen forced his wife to make a ""confession"" and to write a farewell letter to Herwegh. A few month later, on the 2nd of May she would die of a pleurisy (“Brustfellentzündung”).","Year:  1852  - - -  Character: HeSiE1817"
1,1,284,"Midst of May, Emma Herwegh returned to Georg. In a literary salon she had run in Genua, she had already gathered with Italian and Polish freedom fighters like Bakunin, Hecker, Garibaldi, Cironi and Mazzini, now in Zürich she gathered people like Liszt, Wagner, Keller, Semper and other freedom fighters of all Europe. But one of their truest friends would remain Richard Wagner.",1852,7,"HeSiE1817","Scene:  284#   Midst of May, Emma Herwegh returned to Georg. In a literary salon she had run in Genua, she had already gathered with Italian and Polish freedom fighters like Bakunin, Hecker, Garibaldi, Cironi and Mazzini, now in Zürich she gathered people like Liszt, Wagner, Keller, Semper and other freedom fighters of all Europe. But one of their truest friends would remain Richard Wagner.","Year:  1852  - - -  Character: HeSiE1817"
1,1,285,"After the death of his wife Herzen had made public her love affair with Herwegh and i July, the Herweghs and Herzen signout their mutual accusations publicly. By this the marital infidelities became an international scandal known as the ""Herzen-Affair"".",1852,7,"HeSiE1817","Scene:  285#   After the death of his wife Herzen had made public her love affair with Herwegh and i July, the Herweghs and Herzen signout their mutual accusations publicly. By this the marital infidelities became an international scandal known as the ""Herzen-Affair"".","Year:  1852  - - -  Character: HeSiE1817"
1,1,286,"9 September 1852, Meta Heusser-Schweizer’s daughter Johanna married Johann Bernhard Spyri (1821-1884) and became Johanna Spyri(-Heusser) who would later be the famous author of the epic children’s book Heidi.",1852,1,"HeScM1797","Scene:  286#   9 September 1852, Meta Heusser-Schweizer’s daughter Johanna married Johann Bernhard Spyri (1821-1884) and became Johanna Spyri(-Heusser) who would later be the famous author of the epic children’s book Heidi.","Year:  1852  - - -  Character: HeScM1797"
1,1,287,"It was a year of partial reconciliation since the Confederate Diet decided to leave off of the debt to the Sonderbund.",1852,8,"history","Scene:  287#   It was a year of partial reconciliation since the Confederate Diet decided to leave off of the debt to the Sonderbund.","Year:  1852  - - -  Character: history"
1,1,288,"In 1853, the Luzerner Tagblatt published a guest list of the Schweizerhof, among othes, in July resided Queen Sophie of the Netherlands and in 1854, King Leopold I. of Belgium.",1853,2,"MoKaK1790","Scene:  288#   In 1853, the Luzerner Tagblatt published a guest list of the Schweizerhof, among othes, in July resided Queen Sophie of the Netherlands and in 1854, King Leopold I. of Belgium.","Year:  1853  - - -  Character: MoKaK1790"
1,1,289,"Such important guests motivated the restructuration and amplification of the Schweizerhof, newly according to the plans of Josef Placidus Segesser, during 1854 and 1855.",1854,2,"MoKaK1790","Scene:  289#   Such important guests motivated the restructuration and amplification of the Schweizerhof, newly according to the plans of Josef Placidus Segesser, during 1854 and 1855.","Year:  1854  - - -  Character: MoKaK1790"
1,1,290,"In September 1854, Georg Herwegh gave his passport to the fleeting Orsini who is soon after arrested.",1854,7,"HeSiE1817","Scene:  290#   In September 1854, Georg Herwegh gave his passport to the fleeting Orsini who is soon after arrested.","Year:  1854  - - -  Character: HeSiE1817"
1,1,291,"17 March 1856, Katharina Morel wrote in a letter how happy she was about her independence.",1856,2,"MoKaK1790","Scene:  291#   17 March 1856, Katharina Morel wrote in a letter how happy she was about her independence.","Year:  1856  - - -  Character: MoKaK1790"
1,1,292,"On the 30th, Orsini achieved to escape the dungeon in Mantua thanked Emma Herwegh for her help.",1856,7,"HeSiE1817","Scene:  292#   On the 30th, Orsini achieved to escape the dungeon in Mantua thanked Emma Herwegh for her help.","Year:  1856  - - -  Character: HeSiE1817"
1,1,293,"In 1875, count Leo Tolstoi was guest at the Schweizerhof and wrote his short stories about the fictitious count D. Nechljudow in Luzern. Also, King Johann I. with family was a guest.",1857,2,"MoKaK1790","Scene:  293#   In 1875, count Leo Tolstoi was guest at the Schweizerhof and wrote his short stories about the fictitious count D. Nechljudow in Luzern. Also, King Johann I. with family was a guest.","Year:  1857  - - -  Character: MoKaK1790"
1,1,294,"Later on, the Segessers lost their ""Auftriegsrechte"" for the Schweizerhof, possibly some kind of right related to a common use in that area which might be related to the docks.",1857,2,"MoKaK1790","Scene:  294#   Later on, the Segessers lost their ""Auftriegsrechte"" for the Schweizerhof, possibly some kind of right related to a common use in that area which might be related to the docks.","Year:  1857  - - -  Character: MoKaK1790"
1,1,295,"In the same year, Constantin Siegwart-Müller was allowed to return to Switzerland and moved to Uri here he wrote his autobiographical works.",1857,4,"SiMueC1800","Scene:  295#   In the same year, Constantin Siegwart-Müller was allowed to return to Switzerland and moved to Uri here he wrote his autobiographical works.","Year:  1857  - - -  Character: SiMueC1800"
1,1,296,"In March 1858, Orsini was executed after a bombing on Napoleon III.",1858,8,"history","Scene:  296#   In March 1858, Orsini was executed after a bombing on Napoleon III.","Year:  1858  - - -  Character: history"
1,1,297,"14 May 1858, Emma Herwegh birthed Marcel her third son.",1858,7,"HeSiE1817","Scene:  297#   14 May 1858, Emma Herwegh birthed Marcel her third son.","Year:  1858  - - -  Character: HeSiE1817"
1,1,298,"The Songs of a Hidden One (Lieder einer Verborgenen) were published.",1858,7,"HeSiE1817","Scene:  298#   The Songs of a Hidden One (Lieder einer Verborgenen) were published.","Year:  1858  - - -  Character: HeSiE1817"
1,1,299,"27 July, Meta Heusser-Schweizer celebrated the birth or her seventh grandson.",1858,1,"HeScM1797","Scene:  299#   27 July, Meta Heusser-Schweizer celebrated the birth or her seventh grandson.","Year:  1858  - - -  Character: HeScM1797"
1,1,300,"Katharina Morel received the Saint Helena Medal by Napoleon III and was publicly recognized by the Luzerner Tagblatt for her efforts during the Russian Campaign {date!}.",1858,2,"MoKaK1790","Scene:  300#   Katharina Morel received the Saint Helena Medal by Napoleon III and was publicly recognized by the Luzerner Tagblatt for her efforts during the Russian Campaign {date!}.","Year:  1858  - - -  Character: MoKaK1790"
1,1,301,"4 July 1859, Meta Heusser-Schweizer’s first grand-daughter was born.",1859,1,"HeScM1797","Scene:  301#   4 July 1859, Meta Heusser-Schweizer’s first grand-daughter was born.","Year:  1859  - - -  Character: HeScM1797"
1,1,302,"In the same year, Richard Wagner finished his work Tristan und Isolde.",1859,8,"history","Scene:  302#   In the same year, Richard Wagner finished his work Tristan und Isolde.","Year:  1859  - - -  Character: history"
1,1,303,"1860, Emma Herwegh translated the ""Memoiren"" of Garibaldi.",1860,7,"HeSiE1817","Scene:  303#   1860, Emma Herwegh translated the ""Memoiren"" of Garibaldi.","Year:  1860  - - -  Character: HeSiE1817"
1,1,304,"In September, Meta Heusser-Schweizer made a travel tour to the forest cantons; Luzern, Horw, Rigi, Weggis, Altorf, Schwyz and Zug.",1860,1,"HeScM1797","Scene:  304#   In September, Meta Heusser-Schweizer made a travel tour to the forest cantons; Luzern, Horw, Rigi, Weggis, Altorf, Schwyz and Zug.","Year:  1860  - - -  Character: HeScM1797"
1,1,305,"In same year, the family Segesser would sell the Schweizerhof and Katharina Morel bought Ziegelhütten-Liegenschaft from the Segessers. She started a small guesthouse there, which she called the ""Tuilerienhaus"" and was later known as ""Pension Morel"".",1860,2,"MoKaK1790","Scene:  305#   In same year, the family Segesser would sell the Schweizerhof and Katharina Morel bought Ziegelhütten-Liegenschaft from the Segessers. She started a small guesthouse there, which she called the ""Tuilerienhaus"" and was later known as ""Pension Morel"".","Year:  1860  - - -  Character: MoKaK1790"
1,1,306,"1 May 1862, Katharina Morel announced her guesthouse in the press of Luzern {check date!}",1862,2,"MoKaK1790","Scene:  306#   1 May 1862, Katharina Morel announced her guesthouse in the press of Luzern {check date!}","Year:  1862  - - -  Character: MoKaK1790"
1,1,307,"18 June, a processes against the opening of new guesthouses was started by the Stadtrath (City Council) during which, on the 26th, Katharina Morel was mentioned as legal owner in an official protocol.",1862,2,"MoKaK1790","Scene:  307#   18 June, a processes against the opening of new guesthouses was started by the Stadtrath (City Council) during which, on the 26th, Katharina Morel was mentioned as legal owner in an official protocol.","Year:  1862  - - -  Character: MoKaK1790"
1,1,308,"5 July 1863, Georg Herwegh entered Lasalles association ""Allgemeine Deutsche Arbeiterverein"" and became its representative for Switzerland.",1863,7,"HeSiE1817","Scene:  308#   5 July 1863, Georg Herwegh entered Lasalles association ""Allgemeine Deutsche Arbeiterverein"" and became its representative for Switzerland.","Year:  1863  - - -  Character: HeSiE1817"
1,1,309,"23 August, Herwegh finished his ""Bundeslied"" - the first anthem of the German proletariate.",1863,7,"HeSiE1817","Scene:  309#   23 August, Herwegh finished his ""Bundeslied"" - the first anthem of the German proletariate.","Year:  1863  - - -  Character: HeSiE1817"
